Leystone Fragment|266~782
Vermillion Savage Battle Axe|69~168
Vermillion Balanced Falchion|69~168
Vermillion Cruel Langsax|69~168
Vermillion Crafted War Bow|69~168
Vermillion Solid Grand Staff|69~168
Vermillion Splendid Sceptre|69~168
Vermillion Brutal Great Maul|69~168
Vermillion Savage Great Axe|69~168
Vermillion Balanced Greatsword|69~168
Flanged Mace of Fire|48~103~193~196
Battle Axe of Fire|48~103~193~196
Falchion of Fire|48~103~193~196
Langsax of Fire|48~103~193~196
War Bow of Fire|48~103~193~196
Grand Staff of Fire|48~103~193~196
Sceptre of Fire|48~103~193~196
Great Maul of Fire|48~103~193~196
Great Axe of Fire|48~103~193~196
Greatsword of Fire|48~103~193~196
Robust Flanged Mace of Fire|48~104~194~197
Fierce Battle Axe of Fire|48~104~194~197
Steady Falchion of Fire|48~104~194~197
Sharp Langsax of Fire|48~104~194~197
Sturdy War Bow of Fire|48~104~194~197
Stout Grand Staff of Fire|48~104~194~197
Elegant Sceptre of Fire|48~104~194~197
Robust Great Maul of Fire|48~104~194~197
Fierce Great Axe of Fire|48~104~194~197
Steady Greatsword of Fire|48~104~194~197
Brutal Flanged Mace of Fire|48~105~195~198
Savage Battle Axe of Fire|48~105~195~198
Balanced Falchion of Fire|48~105~195~198
Cruel Langsax of Fire|48~105~195~198
Crafted War Bow of Fire|48~105~195~198
Solid Grand Staff of Fire|48~105~195~198
Splendid Sceptre of Fire|48~105~195~198
Brutal Great Maul of Fire|48~105~195~198
Savage Great Axe of Fire|48~105~195~198
Balanced Greatsword of Fire|48~105~195~198
Flanged Mace of Flame|59~136
Battle Axe of Flame|59~136
Falchion of Flame|59~136
Langsax of Flame|59~136
War Bow of Flame|59~136
Grand Staff of Flame|59~136
Sceptre of Flame|59~136
Great Maul of Flame|59~136
Great Axe of Flame|59~136
Greatsword of Flame|59~136
Robust Flanged Mace of Flame|59~137
Fierce Battle Axe of Flame|59~137
Steady Falchion of Flame|59~137
Sharp Langsax of Flame|59~137
Sturdy War Bow of Flame|59~137
Stout Grand Staff of Flame|59~137
Elegant Sceptre of Flame|59~137
Robust Great Maul of Flame|59~137
Fierce Great Axe of Flame|59~137
Steady Greatsword of Flame|59~137
Brutal Flanged Mace of Flame|59~138
Savage Battle Axe of Flame|59~138
Balanced Falchion of Flame|59~138
Cruel Langsax of Flame|59~138
Crafted War Bow of Flame|59~138
Solid Grand Staff of Flame|59~138
Splendid Sceptre of Flame|59~138
Brutal Great Maul of Flame|59~138
Savage Great Axe of Flame|59~138
Balanced Greatsword of Flame|59~138
Flanged Mace of the Sun|70~169
Battle Axe of the Sun|70~169
Falchion of the Sun|70~169
Langsax of the Sun|70~169
War Bow of the Sun|70~169
Grand Staff of the Sun|70~169
Sceptre of the Sun|70~169
Great Maul of the Sun|70~169
Great Axe of the Sun|70~169
Greatsword of the Sun|70~169
Robust Flanged Mace of the Sun|70~170
Fierce Battle Axe of the Sun|70~170
Steady Falchion of the Sun|70~170
Sharp Langsax of the Sun|70~170
Sturdy War Bow of the Sun|70~170
Stout Grand Staff of the Sun|70~170
Elegant Sceptre of the Sun|70~170
Robust Great Maul of the Sun|70~170
Fierce Great Axe of the Sun|70~170
Steady Greatsword of the Sun|70~170
Brutal Flanged Mace of the Sun|70~171
Savage Battle Axe of the Sun|70~171
Balanced Falchion of the Sun|70~171
Cruel Langsax of the Sun|70~171
Crafted War Bow of the Sun|70~171
Solid Grand Staff of the Sun|70~171
Splendid Sceptre of the Sun|70~171
Brutal Great Maul of the Sun|70~171
Savage Great Axe of the Sun|70~171
Balanced Greatsword of the Sun|70~171
Cyan Flanged Mace|49~106~193~196
Cyan Battle Axe|49~106~193~196
Cyan Falchion|49~106~193~196
Cyan Langsax|49~106~193~196
Cyan War Bow|49~106~193~196
Cyan Grand Staff|49~106~193~196
Cyan Sceptre|49~106~193~196
Cyan Great Maul|49~106~193~196
Cyan Great Axe|49~106~193~196
Cyan Greatsword|49~106~193~196
Cyan Robust Flanged Mace|49~107~194~197
Cyan Fierce Battle Axe|49~107~194~197
Cyan Steady Falchion|49~107~194~197
Cyan Sharp Langsax|49~107~194~197
Cyan Sturdy War Bow|49~107~194~197
Cyan Stout Grand Staff|49~107~194~197
Cyan Elegant Sceptre|49~107~194~197
Cyan Robust Great Maul|49~107~194~197
Cyan Fierce Great Axe|49~107~194~197
Cyan Steady Greatsword|49~107~194~197
Cyan Brutal Flanged Mace|49~108~195~198
Cyan Savage Battle Axe|49~108~195~198
Cyan Balanced Falchion|49~108~195~198
Cyan Cruel Langsax|49~108~195~198
Cyan Crafted War Bow|49~108~195~198
Cyan Solid Grand Staff|49~108~195~198
Cyan Splendid Sceptre|49~108~195~198
Cyan Brutal Great Maul|49~108~195~198
Cyan Savage Great Axe|49~108~195~198
Cyan Balanced Greatsword|49~108~195~198
Turquoise Flanged Mace|60~139
Turquoise Battle Axe|60~139
Turquoise Falchion|60~139
Turquoise Langsax|60~139
Turquoise War Bow|60~139
Turquoise Grand Staff|60~139
Turquoise Sceptre|60~139
Turquoise Great Maul|60~139
Turquoise Great Axe|60~139
Turquoise Greatsword|60~139
Turquoise Robust Flanged Mace|60~140
Turquoise Fierce Battle Axe|60~140
Turquoise Steady Falchion|60~140
Turquoise Sharp Langsax|60~140
Turquoise Sturdy War Bow|60~140
Turquoise Stout Grand Staff|60~140
Turquoise Elegant Sceptre|60~140
Turquoise Robust Great Maul|60~140
Turquoise Fierce Great Axe|60~140
Turquoise Steady Greatsword|60~140
Turquoise Brutal Flanged Mace|60~141
Turquoise Savage Battle Axe|60~141
Turquoise Balanced Falchion|60~141
Turquoise Cruel Langsax|60~141
Turquoise Crafted War Bow|60~141
Turquoise Solid Grand Staff|60~141
Turquoise Splendid Sceptre|60~141
Turquoise Brutal Great Maul|60~141
Turquoise Savage Great Axe|60~141
Turquoise Balanced Greatsword|60~141
Sapphire Flanged Mace|71~172
Sapphire Battle Axe|71~172
Sapphire Falchion|71~172
Sapphire Langsax|71~172
Sapphire War Bow|71~172
Sapphire Grand Staff|71~172
Sapphire Sceptre|71~172
Sapphire Great Maul|71~172
Sapphire Great Axe|71~172
Sapphire Greatsword|71~172
Sapphire Robust Flanged Mace|71~173
Sapphire Fierce Battle Axe|71~173
Sapphire Steady Falchion|71~173
Sapphire Sharp Langsax|71~173
Sapphire Sturdy War Bow|71~173
Sapphire Stout Grand Staff|71~173
Sapphire Elegant Sceptre|71~173
Sapphire Robust Great Maul|71~173
Sapphire Fierce Great Axe|71~173
Sapphire Steady Greatsword|71~173
Sapphire Brutal Flanged Mace|71~174
Sapphire Savage Battle Axe|71~174
Sapphire Balanced Falchion|71~174
Sapphire Cruel Langsax|71~174
Sapphire Crafted War Bow|71~174
Sapphire Solid Grand Staff|71~174
Sapphire Splendid Sceptre|71~174
Sapphire Brutal Great Maul|71~174
Sapphire Savage Great Axe|71~174
Sapphire Balanced Greatsword|71~174
Flanged Mace of Frost|50~109~193~196
Battle Axe of Frost|50~109~193~196
Falchion of Frost|50~109~193~196
Langsax of Frost|50~109~193~196
War Bow of Frost|50~109~193~196
Grand Staff of Frost|50~109~193~196
Sceptre of Frost|50~109~193~196
Great Maul of Frost|50~109~193~196
Great Axe of Frost|50~109~193~196
Greatsword of Frost|50~109~193~196
Robust Flanged Mace of Frost|50~110~194~197
Fierce Battle Axe of Frost|50~110~194~197
Steady Falchion of Frost|50~110~194~197
Sharp Langsax of Frost|50~110~194~197
Sturdy War Bow of Frost|50~110~194~197
Stout Grand Staff of Frost|50~110~194~197
Elegant Sceptre of Frost|50~110~194~197
Robust Great Maul of Frost|50~110~194~197
Fierce Great Axe of Frost|50~110~194~197
Steady Greatsword of Frost|50~110~194~197
Brutal Flanged Mace of Frost|50~111~195~198
Savage Battle Axe of Frost|50~111~195~198
Balanced Falchion of Frost|50~111~195~198
Cruel Langsax of Frost|50~111~195~198
Crafted War Bow of Frost|50~111~195~198
Solid Grand Staff of Frost|50~111~195~198
Splendid Sceptre of Frost|50~111~195~198
Brutal Great Maul of Frost|50~111~195~198
Savage Great Axe of Frost|50~111~195~198
Balanced Greatsword of Frost|50~111~195~198
Flanged Mace of Ice|61~142
Battle Axe of Ice|61~142
Falchion of Ice|61~142
Langsax of Ice|61~142
War Bow of Ice|61~142
Grand Staff of Ice|61~142
Sceptre of Ice|61~142
Great Maul of Ice|61~142
Great Axe of Ice|61~142
Greatsword of Ice|61~142
Robust Flanged Mace of Ice|61~143
Fierce Battle Axe of Ice|61~143
Steady Falchion of Ice|61~143
Sharp Langsax of Ice|61~143
Sturdy War Bow of Ice|61~143
Stout Grand Staff of Ice|61~143
Elegant Sceptre of Ice|61~143
Robust Great Maul of Ice|61~143
Fierce Great Axe of Ice|61~143
Steady Greatsword of Ice|61~143
Brutal Flanged Mace of Ice|61~144
Savage Battle Axe of Ice|61~144
Balanced Falchion of Ice|61~144
Cruel Langsax of Ice|61~144
Crafted War Bow of Ice|61~144
Solid Grand Staff of Ice|61~144
Splendid Sceptre of Ice|61~144
Brutal Great Maul of Ice|61~144
Savage Great Axe of Ice|61~144
Balanced Greatsword of Ice|61~144
Flanged Mace of Winter|72~175
Battle Axe of Winter|72~175
Falchion of Winter|72~175
Langsax of Winter|72~175
War Bow of Winter|72~175
Grand Staff of Winter|72~175
Sceptre of Winter|72~175
Great Maul of Winter|72~175
Great Axe of Winter|72~175
Greatsword of Winter|72~175
Robust Flanged Mace of Winter|72~176
Fierce Battle Axe of Winter|72~176
Steady Falchion of Winter|72~176
Sharp Langsax of Winter|72~176
Sturdy War Bow of Winter|72~176
Stout Grand Staff of Winter|72~176
Elegant Sceptre of Winter|72~176
Robust Great Maul of Winter|72~176
Fierce Great Axe of Winter|72~176
Steady Greatsword of Winter|72~176
Brutal Flanged Mace of Winter|72~177
Savage Battle Axe of Winter|72~177
Balanced Falchion of Winter|72~177
Cruel Langsax of Winter|72~177
Crafted War Bow of Winter|72~177
Solid Grand Staff of Winter|72~177
Splendid Sceptre of Winter|72~177
Brutal Great Maul of Winter|72~177
Savage Great Axe of Winter|72~177
Balanced Greatsword of Winter|72~177
Vicious Flanged Mace|51~112~193~196
Vicious Battle Axe|51~112~193~196
Vicious Falchion|51~112~193~196
Vicious Langsax|51~112~193~196
Vicious War Bow|51~112~193~196
Vicious Grand Staff|51~112~193~196
Vicious Sceptre|51~112~193~196
Vicious Great Maul|51~112~193~196
Vicious Great Axe|51~112~193~196
Vicious Greatsword|51~112~193~196
Vicious Robust Flanged Mace|51~113~194~197
Vicious Fierce Battle Axe|51~113~194~197
Vicious Steady Falchion|51~113~194~197
Vicious Sharp Langsax|51~113~194~197
Vicious Sturdy War Bow|51~113~194~197
Vicious Stout Grand Staff|51~113~194~197
Vicious Elegant Sceptre|51~113~194~197
Vicious Robust Great Maul|51~113~194~197
Vicious Fierce Great Axe|51~113~194~197
Vicious Steady Greatsword|51~113~194~197
Vicious Brutal Flanged Mace|51~114~195~198
Vicious Savage Battle Axe|51~114~195~198
Vicious Balanced Falchion|51~114~195~198
Vicious Cruel Langsax|51~114~195~198
Vicious Crafted War Bow|51~114~195~198
Vicious Solid Grand Staff|51~114~195~198
Vicious Splendid Sceptre|51~114~195~198
Vicious Brutal Great Maul|51~114~195~198
Vicious Savage Great Axe|51~114~195~198
Vicious Balanced Greatsword|51~114~195~198
Lethal Flanged Mace|62~145
Lethal Battle Axe|62~145
Lethal Falchion|62~145
Lethal Langsax|62~145
Lethal War Bow|62~145
Lethal Grand Staff|62~145
Lethal Sceptre|62~145
Lethal Great Maul|62~145
Lethal Great Axe|62~145
Lethal Greatsword|62~145
Lethal Robust Flanged Mace|62~146
Lethal Fierce Battle Axe|62~146
Lethal Steady Falchion|62~146
Lethal Sharp Langsax|62~146
Lethal Sturdy War Bow|62~146
Lethal Stout Grand Staff|62~146
Lethal Elegant Sceptre|62~146
Lethal Robust Great Maul|62~146
Lethal Fierce Great Axe|62~146
Lethal Steady Greatsword|62~146
Lethal Brutal Flanged Mace|62~147
Lethal Savage Battle Axe|62~147
Lethal Balanced Falchion|62~147
Lethal Cruel Langsax|62~147
Lethal Crafted War Bow|62~147
Lethal Solid Grand Staff|62~147
Lethal Splendid Sceptre|62~147
Lethal Brutal Great Maul|62~147
Lethal Savage Great Axe|62~147
Lethal Balanced Greatsword|62~147
Deadly Flanged Mace|73~178
Deadly Battle Axe|73~178
Deadly Falchion|73~178
Deadly Langsax|73~178
Deadly War Bow|73~178
Deadly Grand Staff|73~178
Deadly Sceptre|73~178
Deadly Great Maul|73~178
Deadly Great Axe|73~178
Deadly Greatsword|73~178
Deadly Robust Flanged Mace|73~179
Deadly Fierce Battle Axe|73~179
Deadly Steady Falchion|73~179
Deadly Sharp Langsax|73~179
Deadly Sturdy War Bow|73~179
Deadly Stout Grand Staff|73~179
Deadly Elegant Sceptre|73~179
Deadly Robust Great Maul|73~179
Deadly Fierce Great Axe|73~179
Deadly Steady Greatsword|73~179
Deadly Brutal Flanged Mace|73~180
Deadly Savage Battle Axe|73~180
Deadly Balanced Falchion|73~180
Deadly Cruel Langsax|73~180
Deadly Crafted War Bow|73~180
Deadly Solid Grand Staff|73~180
Deadly Splendid Sceptre|73~180
Deadly Brutal Great Maul|73~180
Deadly Savage Great Axe|73~180
Deadly Balanced Greatsword|73~180
Flanged Mace of Swiftness|52~115~193~196
Battle Axe of Swiftness|52~115~193~196
Falchion of Swiftness|52~115~193~196
Langsax of Swiftness|52~115~193~196
War Bow of Swiftness|52~115~193~196
Grand Staff of Swiftness|52~115~193~196
Sceptre of Swiftness|52~115~193~196
Great Maul of Swiftness|52~115~193~196
Great Axe of Swiftness|52~115~193~196
Greatsword of Swiftness|52~115~193~196
Robust Flanged Mace of Swiftness|52~116~194~197
Fierce Battle Axe of Swiftness|52~116~194~197
Steady Falchion of Swiftness|52~116~194~197
Sharp Langsax of Swiftness|52~116~194~197
Sturdy War Bow of Swiftness|52~116~194~197
Stout Grand Staff of Swiftness|52~116~194~197
Elegant Sceptre of Swiftness|52~116~194~197
Robust Great Maul of Swiftness|52~116~194~197
Fierce Great Axe of Swiftness|52~116~194~197
Steady Greatsword of Swiftness|52~116~194~197
Brutal Flanged Mace of Swiftness|52~117~195~198
Savage Battle Axe of Swiftness|52~117~195~198
Balanced Falchion of Swiftness|52~117~195~198
Cruel Langsax of Swiftness|52~117~195~198
Crafted War Bow of Swiftness|52~117~195~198
Solid Grand Staff of Swiftness|52~117~195~198
Splendid Sceptre of Swiftness|52~117~195~198
Brutal Great Maul of Swiftness|52~117~195~198
Savage Great Axe of Swiftness|52~117~195~198
Balanced Greatsword of Swiftness|52~117~195~198
Flanged Mace of Speed|63~148
Battle Axe of Speed|63~148
Falchion of Speed|63~148
Langsax of Speed|63~148
War Bow of Speed|63~148
Grand Staff of Speed|63~148
Sceptre of Speed|63~148
Great Maul of Speed|63~148
Great Axe of Speed|63~148
Greatsword of Speed|63~148
Robust Flanged Mace of Speed|63~149
Fierce Battle Axe of Speed|63~149
Steady Falchion of Speed|63~149
Sharp Langsax of Speed|63~149
Sturdy War Bow of Speed|63~149
Stout Grand Staff of Speed|63~149
Elegant Sceptre of Speed|63~149
Robust Great Maul of Speed|63~149
Fierce Great Axe of Speed|63~149
Steady Greatsword of Speed|63~149
Brutal Flanged Mace of Speed|63~150
Savage Battle Axe of Speed|63~150
Balanced Falchion of Speed|63~150
Cruel Langsax of Speed|63~150
Crafted War Bow of Speed|63~150
Solid Grand Staff of Speed|63~150
Splendid Sceptre of Speed|63~150
Brutal Great Maul of Speed|63~150
Savage Great Axe of Speed|63~150
Balanced Greatsword of Speed|63~150
Flanged Mace of Celerity|74~181
Battle Axe of Celerity|74~181
Falchion of Celerity|74~181
Langsax of Celerity|74~181
War Bow of Celerity|74~181
Grand Staff of Celerity|74~181
Sceptre of Celerity|74~181
Great Maul of Celerity|74~181
Great Axe of Celerity|74~181
Greatsword of Celerity|74~181
Robust Flanged Mace of Celerity|74~182
Fierce Battle Axe of Celerity|74~182
Steady Falchion of Celerity|74~182
Sharp Langsax of Celerity|74~182
Sturdy War Bow of Celerity|74~182
Stout Grand Staff of Celerity|74~182
Elegant Sceptre of Celerity|74~182
Robust Great Maul of Celerity|74~182
Fierce Great Axe of Celerity|74~182
Steady Greatsword of Celerity|74~182
Brutal Flanged Mace of Celerity|74~183
Savage Battle Axe of Celerity|74~183
Balanced Falchion of Celerity|74~183
Cruel Langsax of Celerity|74~183
Crafted War Bow of Celerity|74~183
Solid Grand Staff of Celerity|74~183
Splendid Sceptre of Celerity|74~183
Brutal Great Maul of Celerity|74~183
Savage Great Axe of Celerity|74~183
Balanced Greatsword of Celerity|74~183
Flanged Mace of Balance|53~118~193~196
Battle Axe of Balance|53~118~193~196
Falchion of Balance|53~118~193~196
Langsax of Balance|53~118~193~196
War Bow of Balance|53~118~193~196
Grand Staff of Balance|53~118~193~196
Sceptre of Balance|53~118~193~196
Great Maul of Balance|53~118~193~196
Great Axe of Balance|53~118~193~196
Greatsword of Balance|53~118~193~196
Robust Flanged Mace of Balance|53~119~194~197
Fierce Battle Axe of Balance|53~119~194~197
Steady Falchion of Balance|53~119~194~197
Sharp Langsax of Balance|53~119~194~197
Sturdy War Bow of Balance|53~119~194~197
Stout Grand Staff of Balance|16~53~119~194~197
Elegant Sceptre of Balance|53~119~194~197
Robust Great Maul of Balance|53~119~194~197
Fierce Great Axe of Balance|53~119~194~197
Steady Greatsword of Balance|53~119~194~197
Brutal Flanged Mace of Balance|53~120~195~198
Savage Battle Axe of Balance|53~120~195~198
Balanced Falchion of Balance|53~120~195~198
Cruel Langsax of Balance|53~120~195~198
Crafted War Bow of Balance|53~120~195~198
Solid Grand Staff of Balance|53~120~195~198
Splendid Sceptre of Balance|53~120~195~198
Brutal Great Maul of Balance|53~120~195~198
Savage Great Axe of Balance|53~120~195~198
Balanced Greatsword of Balance|53~120~195~198
Flanged Mace of Lightness|64~151
Battle Axe of Lightness|64~151
Falchion of Lightness|64~151
Langsax of Lightness|64~151
War Bow of Lightness|64~151
Grand Staff of Lightness|64~151
Sceptre of Lightness|64~151
Great Maul of Lightness|64~151
Great Axe of Lightness|64~151
Greatsword of Lightness|64~151
Robust Flanged Mace of Lightness|64~152
Fierce Battle Axe of Lightness|64~152
Steady Falchion of Lightness|64~152
Sharp Langsax of Lightness|64~152
Sturdy War Bow of Lightness|64~152
Stout Grand Staff of Lightness|64~152
Elegant Sceptre of Lightness|64~152
Robust Great Maul of Lightness|64~152
Fierce Great Axe of Lightness|64~152
Steady Greatsword of Lightness|64~152
Brutal Flanged Mace of Lightness|64~153
Savage Battle Axe of Lightness|64~153
Balanced Falchion of Lightness|64~153
Cruel Langsax of Lightness|64~153
Crafted War Bow of Lightness|64~153
Solid Grand Staff of Lightness|64~153
Splendid Sceptre of Lightness|64~153
Brutal Great Maul of Lightness|64~153
Savage Great Axe of Lightness|64~153
Balanced Greatsword of Lightness|64~153
Flanged Mace of Grace|75~184
Battle Axe of Grace|75~184
Falchion of Grace|75~184
Langsax of Grace|75~184
War Bow of Grace|75~184
Grand Staff of Grace|75~184
Sceptre of Grace|75~184
Great Maul of Grace|75~184
Great Axe of Grace|75~184
Greatsword of Grace|75~184
Robust Flanged Mace of Grace|75~185
Fierce Battle Axe of Grace|75~185
Steady Falchion of Grace|75~185
Sharp Langsax of Grace|75~185
Sturdy War Bow of Grace|75~185
Stout Grand Staff of Grace|75~185
Elegant Sceptre of Grace|75~185
Robust Great Maul of Grace|75~185
Fierce Great Axe of Grace|75~185
Steady Greatsword of Grace|75~185
Brutal Flanged Mace of Grace|75~186
Savage Battle Axe of Grace|75~186
Balanced Falchion of Grace|75~186
Cruel Langsax of Grace|75~186
Crafted War Bow of Grace|75~186
Solid Grand Staff of Grace|75~186
Splendid Sceptre of Grace|75~186
Brutal Great Maul of Grace|75~186
Savage Great Axe of Grace|75~186
Balanced Greatsword of Grace|75~186
Flanged Mace of Brutes|54~121~193~196
Battle Axe of Brutes|54~121~193~196
Falchion of Brutes|54~121~193~196
Langsax of Brutes|54~121~193~196
War Bow of Brutes|54~121~193~196
